ID	Length	Taxa_id	Species	Lineage
S000469448	1477	164452	Vulcanisaeta souniana	Root; Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta
S000393860	1451	58290	Archaeoglobus veneficus	Root; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus
S000433281	1500	84156	Archaeoglobus profundus	Root; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus
S000891049	1412	403219	Archaeoglobus infectus	Root; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus
S001351485	1453	387631	Archaeoglobus sulfaticallidus	Root; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus
S004069178	1491	224325	Archaeoglobus fulgidus	Root; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus
S000389362	1471	54261	Ferroglobus placidus	Root; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Ferroglobus
S000389361	1435	113653	Geoglobus ahangari	Root; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Geoglobus
S001188969	1417	565033	Geoglobus acetivorans	Root; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Geoglobus
S000641015	1352	367189	Haladaptatus paucihalophilus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haladaptatus
S001292585	1405	453847	Haladaptatus cibarius	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haladaptatus
S001328389	1472	553468	Haladaptatus litoreus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haladaptatus
S002447632	1484	1008152	Haladaptatus pallidirubidus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haladaptatus
S000394150	1474	175632	Halalkalicoccus tibetensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halalkalicoccus
S000769047	1330	795797	Halalkalicoccus jeotgali	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halalkalicoccus
S003265113	1473	1193105	Halarchaeum grantii	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halarchaeum
S003286534	1474	489138	Halarchaeum acidiphilum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halarchaeum
S003286535	1476	489911	Halarchaeum rubridurum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halarchaeum
S003286536	1473	489912	Halarchaeum salinum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halarchaeum
S003286537	1475	489913	Halarchaeum nitratireducens	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halarchaeum
S003619119	1448	1073081	Halarchaeum solikamskense	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halarchaeum
S000530878	1473	2242	Halobacterium salinarum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium
S000530890	1473	223182	Halobacterium noricense	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium
S000690744	1396	355548	Halobacterium jilantaiense	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium
S000768409	1375	413968	Halobacterium salinarum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium
S004213356	1473	1341552	Halobacterium rubrum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium
S000381765	1472	62319	Halococcus saccharolyticus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S000381766	1471	36738	Halococcus salifodinae	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S000404313	1476	224402	Halococcus qingdaonensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S000413445	1474	2250	Halococcus morrhuae	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S000433698	1472	179637	Halococcus dombrowskii	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S000543622	1384	335952	Halococcus thailandensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S000653120	1312	332168	Halococcus hamelinensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S003610197	1474	1232219	Halococcus agarilyticus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S003749565	1406	1264579	Halococcus sediminicola	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halococcus
S002235746	1472	671145	Halomarina oriensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halomarina
S001168697	1431	558529	Natronoarchaeum philippinense	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Natronoarchaeum
S002349355	1431	926360	Natronoarchaeum mannanilyticum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Natronoarchaeum
S002911548	1471	755311	Natronoarchaeum rubrum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Natronoarchaeum
S001415948	1420	555573	Salarchaeum japonicum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Salarchaeum
S002234454	1440	890420	Halovenus aranensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halovenus
S002907791	1470	869890	Halovenus rubra	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halovenus
S004504270	1402	1510225	Halovenus salina	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halovenus
S002446423	1441	996166	Haloarchaeobius iranensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarchaeobius
S002446424	1441	996166	Haloarchaeobius iranensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarchaeobius
S004212917	1473	1198296	Haloarchaeobius amylolyticus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarchaeobius
S004212918	1472	1198298	Haloarchaeobius salinus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarchaeobius
S004447898	1472	1198298	Haloarchaeobius salinus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarchaeobius
S004501541	1440	1670458	Haloarchaeobius baliensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarchaeobius
S002225017	1473	755309	Halorubellus salinus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halorubellus
S002225018	1473	755308	Halorubellus litoreus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halorubellus
S001576879	1471	660515	Halorussus rarus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halorussus
S004212904	1471	1126238	Halorussus ruber	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halorussus
S004213357	1386	1364935	Halorussus salinus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halorussus
S004223616	1471	1126238	Halorussus ruber	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halorussus
S004447385	1472	1126242	Halorussus amylolyticus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halorussus
S004494896	1472	1710536	Halorussus litoreus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halorussus
S004044025	1475	1126234	Salinirubrum litoreum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Salinirubrum
S002907788	1471	869888	Salinarchaeum laminariae	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Salinarchaeum
S004450745	1440	1586233	Halosiccatus urmianus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halosiccatus
S004530173	1457	1547897	Halostella salina	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halostella
S004452308	1445	1516076	Halanaeroarchaeum sulfurireducens	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halanaeroarchaeum
S004494893	1474	1710541	Salinibaculum litoreum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Salinibaculum
S000859947	1419	437163	Halomicrobium katesii	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halomicrobium
S000893200	1473	57705	Halomicrobium mukohataei	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halomicrobium
S002153652	1472	767519	Halomicrobium zhouii	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halomicrobium
S000059346	1422	146826	Halorhabdus utahensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halorhabdus
S000965685	1362	430914	Halorhabdus tiamatea	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halorhabdus
S000334617	1472	171164	Halosimplex carlsbadense	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halosimplex
S002907790	1473	869889	Halosimplex rubrum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halosimplex
S003803544	1473	869886	Halosimplex pelagicum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halosimplex
S004052873	1472	869886	Halosimplex pelagicum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halosimplex
S004052874	1473	869889	Halosimplex rubrum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halosimplex
S004447899	1473	1198301	Halosimplex litoreum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halosimplex
S000382045	1471	44098	Haloarcula quadrata	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S000385506	1472	51589	Haloarcula hispanica	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S000842510	1472	396317	Haloarcula amylolytica	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S000842511	1472	396317	Haloarcula amylolytica	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S000893191	1472	43776	Haloarcula argentinensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S000893195	1472	29282	Haloarcula japonica	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S000893198	1472	28442	Haloarcula vallismortis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S000893203	1472	2238	Haloarcula marismortui	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S001241726	1489	575194	Haloarcula tradensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S001241730	1479	575195	Haloarcula salaria	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S004070473	1471	272569	Haloarcula marismortui	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S004070474	1471	272569	Haloarcula marismortui	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
S000750014	1311	268739	Natronomonas moolapensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Natronomonas
S002914768	1383	1046043	Natronomonas gomsonensis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Natronomonas
S004069559	1466	348780	Natronomonas pharaonis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Natronomonas
S004446112	1467	348780	Natronomonas pharaonis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Natronomonas
S003920862	1472	1457250	Halapricum salinum	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halapricum
S003659877	1471	1427151	Halomicroarcula pellucida	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halomicroarcula
S004208442	1472	1429914	Halomicroarcula salina	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halomicroarcula
S004208443	1471	1429915	Halomicroarcula limicola	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halomicroarcula
S001576882	1473	660518	Halorientalis regularis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halorientalis
S004051133	1445	1367881	Halorientalis persicus	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halorientalis
S004212906	1472	1126241	Halorientalis brevis	Root; Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloarculaceae; Halorientalis
S002949588	1472	1042953	Haloparvum alkalitolerans	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloparvum
S004534677	1456	1678448	Haloparvum sedimenti	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloparvum
S004230039	1327	1544720	Haloprofundus marisrubri	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloprofundus
S001573772	1472	553467	Halopelagius inordinatus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halopelagius
S003299684	1484	1198324	Halopelagius fulvigenes	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halopelagius
S003617396	1472	1236180	Halopelagius longus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halopelagius
S000711934	1393	376171	Haloplanus natans	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloplanus
S001576886	1471	660522	Haloplanus aerogenes	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloplanus
S001609987	1472	555874	Haloplanus vescus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloplanus
S002153650	1470	767515	Haloplanus litoreus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloplanus
S002907784	1470	869892	Haloplanus ruber	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloplanus
S003803572	1470	1126245	Haloplanus salinus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloplanus
S000422110	1439	293091	Haloquadratum walsbyi	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloquadratum
S000386894	1451	60847	Halogeometricum borinquense	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogeometricum
S000752001	1351	411361	Halogeometricum pallidum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogeometricum
S001573773	1472	553469	Halogeometricum rufum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogeometricum
S001609986	1473	555875	Halogeometricum limi	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogeometricum
S002226852	1473	1227487	Halogeometricum pallidum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogeometricum
S000384908	1473	2254	Haloferax lucentense	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S000409636	1404	2246	Haloferax volcanii	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S000413456	1470	35746	Haloferax gibbonsii	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S000413493	1469	35745	Haloferax denitrificans	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S000441371	1409	255616	Haloferax sulfurifontis	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S000631385	1473	302484	Haloferax larsenii	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S000645032	1472	2252	Haloferax mediterranei	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S000727758	1435	381852	Haloferax prahovense	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S001152428	1379	403191	Haloferax elongans	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S001152431	1362	403181	Haloferax mucosum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S003745244	1425	1109010	Haloferax chudinovii	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Haloferax
S001576884	1472	660520	Halogranum amylolyticum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogranum
S001576885	1473	660521	Halogranum gelatinilyticum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogranum
S001793488	1473	553466	Halogranum rubrum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogranum
S002156850	1436	693851	Halogranum salarium	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halogranum
S001576881	1474	660517	Halobellus clavatus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halobellus
S002151742	1472	699433	Halobellus limi	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halobellus
S002305948	1475	931585	Halobellus clavatus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halobellus
S003803377	1472	755310	Halobellus litoreus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halobellus
S003803570	1472	1126237	Halobellus rarus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halobellus
S003920861	1473	1448860	Halobellus rufus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halobellus
S004044027	1473	1126236	Halobellus inordinatus	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halobellus
S004212916	1480	1379040	Halobellus ramosii	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Haloferacaceae; Halobellus
S000378490	1357	268735	Halonotius pteroides	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halonotius
S000367886	1470	175631	Halorubrum tibetense	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000380813	1468	63740	Halorubrum vacuolatum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000385508	1467	267368	Halorubrum terrestre	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000413457	1469	35743	Halorubrum sodomense	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000413841	1467	29283	Halorubrum distributum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000414244	1469	64713	Halorubrum coriense	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000414755	1460	29284	Halorubrum trapanicum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000437232	1469	2248	Halorubrum saccharovorum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000437233	1469	2247	Halorubrum lacusprofundi	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000462521	1470	261291	Halorubrum xinjiangense	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000474098	1471	261290	Halorubrum alkaliphilum	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000584653	1405	337243	Halorubrum ezzemoulense	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
S000650767	1409	376415	Halorubrum orientale	Root; Archaea; Euryarchaeota; Halobacteria; Haloferacales; Halorubraceae; Halorubrum
